,Buy&Hold,Trimestral,Semestral,Anual
MK,-0.001,-0.000,-0.002,-0.002
MK$_{0.2}$,0.001,0.001,0.001,0.001
MK$_{0.5}$,-0.003,-0.000,-0.003,-0.004
MK$_{0.8}$,0.001,0.001,0.001,0.000
