,Buy&Hold,Trimestral,Semestral,Anual
MK,-2.969,-1.271,-2.978,-2.973
MK$_{0.2}$,0.061,0.045,0.049,0.030
MK$_{0.5}$,-0.032,-0.003,-0.034,-0.041
MK$_{0.8}$,0.076,0.050,0.058,0.046
